Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Random,,,,2023-10-17 17:16:05,2023-10-17 17:16:24,"18,685s",FAILED
,,,,,,,
Test Cases/TC_08,,,,2023-10-17 17:16:05,2023-10-17 17:16:10,"4,437s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:05,2023-10-17 17:16:10,"4,167s",FAILED
,,,,,,,
Test Cases/TC_07,,,,2023-10-17 17:16:10,2023-10-17 17:16:12,"2,046s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:10,2023-10-17 17:16:12,"1,982s",FAILED
,,,,,,,
Test Cases/TC_06,,,,2023-10-17 17:16:12,2023-10-17 17:16:13,"1,742s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:12,2023-10-17 17:16:13,"1,709s",FAILED
,,,,,,,
Test Cases/TC_05,,,,2023-10-17 17:16:13,2023-10-17 17:16:15,"1,519s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:13,2023-10-17 17:16:15,"1,488s",FAILED
,,,,,,,
Test Cases/TC_04,,,,2023-10-17 17:16:15,2023-10-17 17:16:17,"1,658s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:15,2023-10-17 17:16:17,"1,619s",FAILED
,,,,,,,
Test Cases/TC_03,,,,2023-10-17 17:16:17,2023-10-17 17:16:19,"1,870s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:17,2023-10-17 17:16:18,"1,647s",FAILED
,,,,,,,
Test Cases/TC_02,,,,2023-10-17 17:16:19,2023-10-17 17:16:22,"3,245s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:19,2023-10-17 17:16:22,"3,210s",FAILED
,,,,,,,
Test Cases/TC_01,,,,2023-10-17 17:16:22,2023-10-17 17:16:24,"1,774s",FAILED
"openBrowser(""www.google.pt"")",,,,2023-10-17 17:16:22,2023-10-17 17:16:24,"1,672s",FAILED
